و	، را که از در به آن او شما برای بر پس خود گردآوری بدرقه
شکر	پروا می‌پرستید ندانسته‌اند رکوع شریکان فرمانم امکانات مؤمنید پنداشتید بپرستید پاکیزه بدارید بیگزارم وفا سرور
مردار	گوشت خوک خون بیراهه دلیلی مادرانتان پنجم گنجینه‌های نصف شرط جنونی ناسپاسی بخوان بترسید بنده‌اش
خوک	گوشت مردار خون ماترک پدیدآورنده ریخته نصف شش داشته_باشد مادرانتان سوم مدت دامهایتان پرنده خرما
گفته‌اند	معلوم شکیبایان اجر دل‌های زیانکارانند تخفیف وعده موعد خواهند_شد زودی عدن شدند می‌افزاید آفرینشی منحرف
قصاص	خردمندان نیافریده‌ایم نیکوترین عذری زندگانی باغی تعلق زنا موجب مدت پندی روزه جنونی بیندیشند باید
گذارد	بیراه بی‌راه می‌گذارد برساند می‌رساند ندادیم همتایانی کارم بینوا می‌خوانید تسلطی مدهید سرکشان بخشش نداد
حقی	محروم فربه کننده زیبا ساخته بشارتی بی‌مقدار اینک می‌گذاشتند جمله یاوری بی‌خبر کژی گماشته رستگاری
تغییر	خوراک صدقه‌ای داشته پیمانی دهند گناهش وصیت وامی‌دارد ارزانی سوگندهایی صدقه پوشیده کرم زنا داشته‌اید
فرستاده_شده_است	نشده_است جهانیانم فرستادن شعیب فرستاده‌ایم بازگشتند بگردان تابناک عربی فرشته‌ای نمی‌آورد نبود چشمانشان نگفتم رسولان
هرگاه	شراب کلاله وصیت بخوبی عده صورتی زنی عمره درگاه روزه زناکار مؤمنی نگویید قمار مادرم
صدقه‌ای	سازش بخوبی محرمانه آزاری خوراک آشکارش تغییر صدقه عوض مادران بخوانید بدارید نیکوکاران وصیت مستمندان
کوچ	اظهار الحرام گشایش دفاع می‌ستاند توجه سیم خوانده_شوند دستهایتان ببرند همخوابگی جانتان برخورد کسب آفتاب
می‌آورید	آورده_می‌شوید بامداد پهلو می‌آوری نشسته نیمروز آمدی آمدن سرزمینی ایستند افکند خانه‌هایشان خانواده لوط آمدند
سخت‌ترین	بدر فرعونیان دشمنان زنش رهانید سوگند مجرمان احد می‌خواندند سیمایشان شامگاهان برافراشتیم جانشان ستیزه مصیبتی
توانای	حکیم بخشایشگر گشایشگر رحمتگر توبه‌پذیر استادت شکست‌ناپذیر آمرزنده سخت‌کیفر حکیمی شنوای داناست مهربان سرور توانا
راه‌مانده	مستمندان خویشاوند تنگدست بده مکن یتیمان مادر همنشین هوس موقع کلاله انفاق می‌نمایند دستور یادآوری
تعلق	ملکوت آسمان‌های می‌نمایند نمی‌داند آفریده قرارگاهی پدیدآورنده هستند شریکی مؤید سپاهیان می‌دانم آفرید ثابت ذره‌ای
نموده‌اند	ورزیده جوار انصار می‌پذیرد جویید نمودند اجر جانتان مؤمنانی بگروید داشته‌اید مهاجران پیشه می‌ستاند می‌رفتند
سودهایی	رنگ‌های طبقه سنگینی میوه‌های گوناگون نوبت استفاده دامهایتان برخورداری نمی‌یابند برافراشت مرگش دام‌ها مده آرامی
سودشان	خواهند_دانست ذره‌ای سرانجامی می‌خواهیم زندگان سودی بیمشان سودش می‌رساند سود بدل می‌خواست باشی واگذارید آنید
بهانه	بیم‌دهنده مقابل ناچیز مدهید ابلاغی کدامین سرگرمی تذکاری بدون وظیفه‌ای‌ زندگی معبودانی نباشد غیر لیکن
آشتی	مؤمنید شکیبایان ماترک سرور بدارید شنوایی نشوید بزنید دوست عجب صلح کمک بدانید سستی جدایی
کشند	سبا سه مرگبار نگویید سامری می‌شنوند منند نشانه رسانیدیم مادرانتان پیامبرشان بکشند موی واقعی ساحر
سزاوارترند	داناتریم تصدیق‌کننده نکرده‌ایم آیاتی عربی نگهبانان وارث قرآنی توضیح فرض دروغگویان مؤید جاودانند قبل هان
سوم	ماترک روزه هشت سن استثنا نصف سه عمره زناکار داشته_باشند پیاپی دوازده یک فراتر همسری
بخوبی	وصیت ازدواج خاموش آشکارش عده محرمانه هرگاه صدقه‌ای فرمانم مستمندان مگیرید پرسش موقع دوستان همسری
مادران	خویشاوندان کمک خویشان قبیله داده صدقه‌ای مهاجران ایشانند نداده_است خوراک داشتن سازش دختران جلوه زنانتان
نوعی	وصیت بهره‌مند پسندیده جدا ازدواج بین شوهر میوه‌های خلاف اعلام توانگر گوساله‌ای الحرام همخوابگی دستت
تنگدست	خویشاوند راه‌مانده نور رزقی بگردان مکشید هموزن بفهمند چند اعمال سنجش درگذرید صورتگری خواهد_به طایفه‌ای
نصف	سوم گوشت پرداخت سنگ‌هایی خوک فراز استثنا دوازده پدیدار باغی مردار بهترند شبی کلیدهای هشت
پیوند	نکاح ببینید تاریکی‌های دیگران قلم عادل جویبارها کیست شش بادها صورتگری لنگر واحد موقع بدی‌ها
پرهیزگار	زنانی مردان زنان شهرهای شهر مشرک مالک دسته‌ای امت فروتن واقعی پلیدند باشند پاکدامن طایفه
جنگیدن	زن طلاق مادرانتان بازگشتند نگویید عده هود همسری همسران نباید هرگاه زنی طلاقشان عمره بیایند
خواهد_آمد	می‌چشانیم رسوایش سهمگین یقیناً رهبری خفت‌آور دردناک می‌رسانند درد عذابی عذابش آشکاری خواهند_آمد برتابد مولای
ستدی	واگذارید داد بیهوده‌ای خلاف گرسنگی گونه‌ای‌ بریده نه برخیزید بسیج قلم آنجا آوازه نمودید عدالت
پرنده	بنگرد نفسی چشنده گوشت ببینید گل دوازده خواهی_، پاره‌ای تازه برافراشت جنی چهار شکافت میوه
کوهی	برادرم آقای الها سالی نعمتی دم یقیناً پاره‌ای فرمودیم آرامش سویش می‌بردند می‌خواهی قوت می‌خوانی
گفتاری	مؤمنانی وامی‌دارند ی‌ خواهند_دانست بی‌منت کارهای پرنده‌ای ورزد پاداشش ورزیده شمرده کرم غمگین والا شایسته
برآورد	نبرد بی‌گمان روشنایی گناهکاران اعمال قومشان تماشاگران گوگردی باغ دو احد ننهاده گنجی عذابش برانگیختیم
پیری	رسیده ناتوانی خواند شتابان فرزندانی سیر قوت خوانده خانواده کوه‌آسا کام تعبیر انداخت شاهدی خواب
هزینه	فساد انفاق هجرت نمی‌توانند دنیا نماید تنگ گریزی بجنگند طلب سفر گردانیده‌ایم فزون‌بخشی سرگرمی پیروی
می‌افزاید	غافلند ایمانشان عدن شادمانی ورزیده نموده‌اند نرسیده_است آتشند انصار بهشتند باده‌ای داربست علمی ماندگار مهر
واگذارید	ستدی توانید تشنه می‌پندارید درنگ بیهوده‌ای ساعتی باقی می‌پرستم منتظر می‌توانند گاوی بمانند می‌خورید بسیج
